text,label_words,label,predicted_labels
못생겨서 밥먹고 사는 대표적 연예인 예능프로 특성상 폭탄역은 필요하고 ㅋㅋ,Appearance,[3],['3']
저출산이 축복이라는게 제일 병신이지저출산=지구에서 도태임,profanity,[2],['0']
잘 하고 있다 백수 임대아파트 사는 통베충 틀딱들만 싫어하지 ㅋㅋ,Age,[9],"['1', '9']"
댓글보니 ㅂㅅ들이 많네 왜 박근혜나 이명박이가 하면 올바른 정치고 그외에 진보성향의 대통령이하면 안된다고 생각하는 자체가 덜떠러진사람이 하는 생각 아닌가 보수든 진보든 잘한것에는 잘했다고 하는것이 맏다고본다 근데 여기 댓글을 보면 참 한심에 극치를달리는 사람이 많아보인다참 한심하다,Disabled,[4],['4']
주댕이 씨발,profanity,[2],['1']
뒤에서는 젠신같은 말투로 여자 패기 시전하는데 웜년들 눈에 흉자로 보일 수도 있는 거지 본인마냥 앵나 집착하노.,Gender,[8],"['1', '9']"
인스타에 바디프로필 검색하면 꼴리는거 개많음,SEXUAL,[11],['1']
조선족 2세냐? 오리지날 조선족 얼굴은 아닌데?,Racism,[5],['5']
허언증 ㄹㅇ 정신병인데 그거;; 아마 부모 있다는 것도 허언증일듯,Disabled,[4],['1']
명불허전 과메기 클라스보소 시발 떠들기만 좆나게 잘떠드네ㅋㅋㅋ,Origin,[7],['5']
보력 한번을 안오냐 혼자 아이디 돌리기 앵나 힘드노 좆팔,profanity,[2],['1']
니엄마가 내가 음흉하다고 비하했어?,Appearance,[3],['1']
난 널 꼭 죽일거야 독약을 타든 칼로 널 찔러죽이든,VIOLENCE,[10],['1']
저것들은 목사가 아니라 목사새키다,Religion,[6],['6']
넌 여자면서 가슴에 쬐깐한 사과 같은 살덩어리 달고 어떻게 사냐?,SEXUAL,[11],['1']
틀무새들 홍좆일체 아니랄까봐 짱깨 까는 글엔 아가리 묵념하는 거 보소 ㅋㅋㅋ지금 짤게에서 경상도 까는 글이랑 노인 까는 글에 모여있는 새끼들은 ㄹㅇ 조선족들 같음,Age,[9],"['5', '9']"
홍렐루야보닌 개독이 싫지만 딲! 이번 대선을 위하여 우덜 기독느님들을 똥꼬 빨아드린다,Religion,[6],['1']
"진짜 자랑스럽게 이야기하는데, 정말 토나옴.",CENSURE,[1],['1']
ㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ과메기 피해의식보소 암크라운제잉 쌍도까면 라도제ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 존나 졸렬한새끼들,Origin,[7],['5']
채식을 하면 뭔가 몸도 가벼워지고 피부도 좋아진거같아요 주변에도 추천하고 있어요 채식도 맛있는 음식이 많아요,IMMORAL_NONE,[0],['1']
홍어새끼들싱글벙글왔다가 분비물흘리는거보소ㅋㅋㅋㄱㅋㅋㄲ 개꿀잼!!!ㅋㅋㄱㅋ,Origin,[7],['0']
진짜 불법체류자를 왜 실드 쳐주냐 이해를 못하겠네 씨발진짜 좆같으면 니네나라로 꺼지든가 씨발,Racism,[5],['5']
클리앙에서 토착왜구 사이트로 명명하겠노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Racism,[5],['5']
다이빙 사고로 많이들 장애인이 된다고 하더라,IMMORAL_NONE,[0],['1']
드러나면이겠지 병시나,profanity,[2],['1']
틀딱특징 : 등산복에 조끼 빨간모자 손자 군복뺐어입음 똥을 먹었는지 몸에 쉰내 오짐,Age,[9],['9']
조까 신상공개 찬성,profanity,[2],['1']
이자식이지금 나한테장난치나? 한입가지고두말하나?,VIOLENCE,[10],['1']
개쌍도 흉노족 새끼들 다 불살라서 사지를 찢어 죽여야 한다 진짜 쌍또라이네,Origin,[7],['0']
왜 이렇게까지 하는걸까요.. 중독되었기 때문이지요. 인간이 자기 몸 망치는 줄 알면서 하는 일은 모두 중독이라는 공통점이 있어요.. 동성애는 중독입니다. 반드시 치료받아야 할 문제라구요.,Gender,[8],['1']
ㄹㅇㅋㅋㅋㅋㅋㅋ뚱뚱해갖고 뒤뚱거리는 유충보면 속으로 너도 작겠구나라고 생각하는쀼젤,Appearance,[3],"['1', '9']"
프로이트는 동성애를 정상이 아닌 하나의 변이로 봤습니다. 동성애는 후천적입니다.전문적인 상담과 치료로 동성애에서 회복하시길 바랍니다.,Gender,[8],"['1', '8']"
인천은 강사새끼랑 개독교 새끼들때문에 코로나 천지네 둘이 손잡고 천국이든 지옥이든 꺼져라 좀,Religion,[6],['0']
oo오빠! 너무 잘생기셨어요! 다음에 또 만나요~,IMMORAL_NONE,[0],['1']
여자 면상을 보니 천달러도 많이 책정한거 같은데?,Appearance,[3],['1']
틀송장 위장보수 새끼들 패미까지 쳐빠는 쓰레기들임 ㅋㅋㅋㅋㅋㅋㅋㅋ,Age,[9],"['5', '9']"
야 제발 야동에서 벗어나서 현실에 살아,CENSURE,[1],['5']
니네 부모가 니 지울려다가 실패해서 낳음,CENSURE,[1],['1']
진짜 말 못 하게 혀를 뽑아 버리고 싶네,VIOLENCE,[10],['1']
급식충=홍어,"Age, Origin","[9, 7]",['1']
어느 한 나라의 문화가 우월하다고 생각하는 것은 잘못되었어. 애초에 우월하고 아니고를 떠나서 모든 국가의 문화는 존중받아야 한다고 생각해.,IMMORAL_NONE,[0],['1']
아따 나도 아침운동 좀 나가봐야겠노. 유충 말랑말랑한 살덩이 쭉 째버리고 싶노이니,Age,[9],"['1', '9']"
저거 차면 후천성 토착 왜구 되는거냐,Racism,[5],['0']
아니.. 여자친구가 24살 연하래.. 어린 여자 쑤시는 쾌감이 어떨까,SEXUAL,[11],"['1', '9']"
너 왼쪽 볼따구에 여드름 같은 거 났어,IMMORAL_NONE,[0],['5']
김일성을 신으로 모시는 종교쟁이들이현 청와대 접수 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,Religion,[6],['1']
네가 토마토를 못먹는건 아직 토마토의 향에 익숙하지 않아서그래.,IMMORAL_NONE,[0],['1']
시발걍전문대각잡고다닐걸,Education,[1],['1']
교회분들아 이웃을 사랑하라 라고 가르치던데 이웃을 싹 다 죽이네 너희들의 이기심으로 진짜 민폐다,Religion,[6],['0']
교인들이 문제네. 이모든게. 교인들탓이여,Religion,[6],['1']
어이가 없다. 저런 돌대가리에 입달린 괴물을 보는데 돈까지 쓰냐. 기가차서 말도 안나온다. 거지발싸게만도 못한 희안한거 보는데 돈 쓰는거 어깝지도 않냐. 못생긴거는 그렇다치고 든거없는 개족보는 어쩔거냐.. 한심타.,Appearance,[3],"['1', '3']"
야 살찐건 그냥 빼면 돼.,IMMORAL_NONE,[0],['1']
본인이 희망 없으니 남도 망하라는 #@# 근성 봐라.,CENSURE,[1],['1']
한 번 먹고 싶다.,SEXUAL,[11],['1']
다 죽여버리고 나죽으면 되지,VIOLENCE,[10],['1']
러시아 여성들은 돈 많고 잘생긴 냄져 아니면 쳐다보지도 않음 근데 한냄이들은 돈도 없고 와꾸가 빻았는데 도대체 뭘 믿고 저러노 ㅈㅉ,"Racism, Appearance","[5, 3]",['1']
몇몇 정신없는 탈북자가지고 북괴싸이버 놀음에 놀아나는 꼬라지 보소.병신새끼들 정신차려라.,Appearance,[3],['5']
둘다잘못했구만 예비장모도 그런말하면안되지만 그렇다고 그걸 또 대놓고 장모무시하는 자지새끼도 열폭찌질이ㅇㅇ 명불허전 전문대 수준,Appearance,[3],"['1', '9']"
쌍도남은 아무도 안좋아해,Origin,[7],['0']
술자시고 습관적으로 남자화장실가는 불쌍사가 않일어나길 기원합니다.맘 여린 남자는 놀래서 마음에 상처입을수 있담니다.,Gender,[8],['1']
진짜 다 벗겨서 온몸 구석구석 핥고 싶다,SEXUAL,[11],['1']
"내 말이, 모처럼 훔친 건데 개빡치네",VIOLENCE,[10],['1']
서남아 국가 새끼들이 한국을 극동 포교의 거점으로 삼았다는 얘기가 있잖어중국 일본 대만한테는 씨알도 안먹히는데 한국만 혼자 다문화 타령하고 자빠져서,Racism,[5],['5']
내가 이래사 갓조국으로 이민온거임. 이새끼들은 진짜 불합리한거보면 절대 가만히 안 놔둠. 특히 백인들 진짜 합리적이고 정의감 ㅆㅅㅌㅊ,Racism,[5],['5']
여자애들 질투 개쩐다 아이즈원은 한명빼고 다들 외모 출중해서 뽑힐만했어 한명이 누군지는 알지?ㅋㅋ,Appearance,[3],['1']
"단순히 소수 취향의 문제만이 아니고, 하는 행동이 상식에서 벗어난 피해 행동이 많은데, 정상집회라고 이렇게 포장하기에는 무리가 있지 않나? 본인들도 좀 자중하지 참...",Gender,[8],['1']
요즘은 교회 믿지 말아야 부자되고... 천국에 갈수 있다.,Religion,[6],['0']
"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2022년 7월 25일 오후 4시 28분 디스코드 서버 개설 > 2022년 10월 17일 빈이의 친구 지성이 사망 (빈이절) > 2022년 11월 27일 조황성의 잼민족 디스코드 침공 (제트 렌과 함께) 라씨가문의 병영 전투에서 방어 성공 > 2023년 1월 21일 원신 유입 > 2023년 2월 9일 해시 사망 (압사절) 현재 잼민킹과 개인적으로 연락중 > 2023년 2월 23일 코히 사망 (잼민킹 """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""코히 다시 돌아오면 찢여죽여"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""") > 2023년 3월 1일 녹슨전쟁 유입 > 2023년 3월 25일 실종됐던 달리킹 활동 관측 > 2023년 3월 25일 라씨가문의 소다족 점유 > 2023년 3월 28일 (해외) 박준수의 할렘 군사반란 스억 퇴출 > 2023년 4월 12일 라씨가문의 옴렛 철수 선언 > 2023년 4월 19일 코캔에 의해 도망친 로시 재유입 > 2023년 4월 20일 로시/잼민킹 ←→ 퍼리 마찰 > 2023년 4월 22일  델박사의 최초의 녹멀방법 개발 > 2023년 4월 23일 뉴 블루아카이브 게이트 > 2023년 5월 11일 구 유저들 일부 유입과 베르사유의 복귀 > 2023년 6월 18일 잼민킹의 해쉬 부계정 발췌 > 2023년 6월 19일 사라진 승언 재유입 > 2023년 6월 19일 콩이의 친구 지성이 사망(콩이절) > 2023년 6월 26일 옴렛 섭종 공지 > 2023년 6월 29일 유목잼민방 새로 개설 > 2023년 6월 29일 김민준 공식 잼민족 협생 서버 출범 > 2023년 6월 30일 배틀그라운드 신드롬 > 2023년 7월 14일 군단장 조카 꼰대 복귀 > 2023년 7월 14일 🕍올림푸스 개혁 > 2023년 7월 15일 준서 복귀 > 2023년 7월 18일 항아리 사태 > 2023년 7월 23일 지인계 협상 > 2023년 7월 27일 코캔방 재부상과 타입 공습절 > 2023년 8월 9일 세분축찐들의 분탕절 > 2023년 8월 10일 마인크레프트 피빕 부활 > 2023년 8월 13일 김민준 유학 > 2023년 8월 26일 코히섭 김민준  교전 > 2023년 8월 28일 아레나 브레이크 유행 > 2023년 9월 6일 녹전 재유행 > 2023년 9월 9일 성키우기 유행 > 2023년 9월 11일 마크-녹전 국경분쟁 > 2023년 9월 15일 마크-녹전 국교정상화 > 2023년 9월 20일 마크멸망절 > 2023년 9월 23일 잼펜슈타인 소설 연재 > 2023년 9월 30일 배그 반대파 - 찬성파 대립 > 2023년 9월 30일 뉴의 반항과 이쯤부터 코히 실종 > 2023년 10월 1일 베르사유 4차 가출 암묵적인 배그 찬성파의 승리 > 2023년 10월 2일 생일건축날 꼰대 가출같은 날 오전 12시 40분경 베르사유 벤과 롤코 이슈로 인한 5차가출 > 2023년 10월 3일 잼민족 마멜의 smp 야생 대유행 > 2023년 10월 7일  응코히의 생존신호 발견  > 2023년 10월 7일 오후6시경: 잦은도배와 마크관련 분쟁으로인한 개혁이후의 > 최초 서버조약 창설 > 2023년 10월 8일: 마멜 smp 종료 > 2023년 10월 14일 잼저우 녹전리그 발족 > 2023년 10월 15일 베르사유 압사절 > 2023년 10월 19일 잼민족 보릿고개 시작(추정) > 2023년 10월 24일 일일 채팅건 600건까지 떨어지며 잼스다 위기 > 2023년 10월 25일 아레나 브레이크 재기 > 2023년 10월 27일 잼민족 일일채팅률 회복 > 2023년 10월 29일 아브 유행 > 2023년 11월 3일 베르사유 이스라엘 국경교전 > 2023년 11월 5일 마멜 연락사무소의 복귀와 경제 재통합 > 2023년 11월 8일 꼰대복귀 > 2023년 11월 9일 마멜 smp 부활 > 2023년 11월 10일 베르사유 공방전 승리 > 2023년 11월 11일 라훈생존 확인 > 2023년 11월 12일 리겐 추함절 > 2023년 11월 13일 베르사유의 공격은 잼민킹새 사단에게 막힙니다 > 2023년 11월 14일 와맆 부활절 > 2023년 11월 15일 코히 막부 방문 > 2023년 11월 19일 김민준 방문 > 2023년 11월 19일 베르사유의 복귀 기각 > 2023년 11월 19일 마멜국전 종료 > 2023년 11월 25일 잼민킹vs타이탄 민준 티비맨 두 """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""신의 충돌"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" > 2023년 12월 1일 베르사유 추함절 > 2023년 12월 3일 잼킹 배척교의 베르사유 숙청 > 2023년 12월 4일 코대통령 코마 > 2023년 12월 6일 코히 접선 > 2023년 12월 7일 잼펜슈타인 재연재 > 2023년 12월 8일 대규모 옴저우 국전 게임 예고 > 2023년 12월 9일 옴렛세력전 잼민족 마이너갤로 변질 > 2023년 12월 9일 잼족 그 저기 예 병림픽 개최로 노자타를 이을 새로운 신무기 개발 > 2023년 12월 10일 네뷸러스 재기 > 2023년 12월 11일 예수의 편파행위로 인한 국전해체 > 2023년 12월 12일 워썬더 원정 > 2023년 12월 17일 암묵적인 아브와리 사망  /  마크 신드롬 > 2023년 12월 18일 마멜의 베트남이민으로 마크 지지율 떡락 > 2023년 12월 20일 베르사유 복귀 찬반 대립과 찬성안 통과 > 2023년 12월 21일 잼킹 황제의 와리 플레이로 와리 신드롬 > 2023년 12월 23일 월남전 재개 > 2023년 12월 24일 잼민족 마인플루엔자 감염자 발생 > 2023년 12월 25일 화목한 크리스마스절 > 2023년 12월 25일 속좁은 코캔에 의해 신년국전 파토 > 2023년 12월 26일 외교의 날 > 2023년 12월 29일 잼민족 대규모 정쟁  컬러 반대vs컬러 찬성  > 2023년 12월 30일 잼민족 서버 개혁(막부로 복귀) > 2023년 12월 30일 제1차 진급발표ㅋ > 2024년 1월 1일 새해시절 > 2024년 1월 2일 많은 사람으로 붐비는 잼민족 국제시장 > 2024년 1월 2일 쿼트의 김민준 정치병 치료절 > 2024년 1월 4일 케잌족 투표공방전 ***패배*** > 2024년 1월 6일 라토행성 접선 > 2024년 1월 6일 신년국전 개방 > 2024년 1월 9일 신년국전 편파루머로 일부 유저들의 탈퇴 > 2024년 1월 10일 컨텐츠 고갈 발생 > 2024년 1월 10일 분쟁발생으로 개구리 사망 > 2024년 1월 11일 로블록스 합방 재개 > 2024년 1월 13일 승컴절 > 2024년 1월 14일 사유 추함절 > 2024년 1월 16일 구컨텐츠의 붕괴와 스타와리의 신드롬 > 2024년 1월 16일 스타 광주 항쟁일 > 2024년 1월 16일 코히아빠의 등장으로 리겐진압 ㅠㅠ > 2024년 1월 21일 마크 산업 부활절 > 2024년 1월 21일 최초 외국인과의 싸접방 (털 전패) > 2024년 1월 21일 잼민족 통제영철수코히 탈퇴(통제영에 상주선언) > 2024년 1월 22일 네키니 개발 착수 > 2024년 1월 23일 코히 호두까기절 > 2024년 1월 24일 잼민족 분뇨절(오후 12시경) > 2024년 1월 25일 네키니 좇개발중지 > 2024년 1월 27일 스타 신드롬 > 2024년 1월 31일 제2차 진급발표 > 2024년 1월 31일 베흥절 > 2024년 2월 1일 브롤스타즈 신드롬 > 2024년 2월 1일 스타 제2차 광주항쟁일 > 2024년 2월 2일 컬러레스 입국금지법 발의 > 2024년 2월 8일 베르사유vs모모 전투일 > 2024년 2월 8일 스타 전성기 > 2024년 2월 9일 아브 근본4인 합방절 > 2024년 2월 10일 설날 (수금의 봄)""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Age,[9],['3']
